18:46:46 INFO  manager.ApplManager - Tests starts on Chrome Driver
18:46:56 INFO  tests.TestBase - Start test--->wrongEmail
18:46:56 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
18:47:11 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
18:47:11 INFO  tests.TestBase - Test Login Negative wrong email starts with email-->goodwin49mail.ru
18:47:11 INFO  tests.TestBase - Test Login Negative wrong email starts with password-->Car12345
18:47:11 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[@class='header']/a[6]
18:47:11 INFO  manager.MyListener - The element with locator-->By.xpath: //div[@class='header']/a[6]was found
18:47:11 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='username']
18:47:11 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='username']was found
18:47:11 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //input[@autocomplete='current-password']
18:47:11 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@autocomplete='current-password']was found
18:47:12 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
18:47:12 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
18:47:12 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div[contains(text(),"It'snot")]
18:47:12 INFO  manager.MyListener - The element with locator-->By.xpath: //div[contains(text(),"It'snot")]was found
18:47:12 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]
18:47:27 INFO  manager.MyListener - The element with locator-->By.xpath: //a[@href="/logout?url=%2Fsearch"]was found
18:47:27 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[text()='Ok']
18:47:42 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
18:47:42 INFO  tests.TestBase - The end of test--->wrongEmail
